device,type,rotabale,size,vendor,product_version
sda,disk,1,558.9G,raid_test
sdb,disk,1,3.7T,HGST HUS726040AL
sdc,disk,1,3.7T,HGST HUS726040AL
sdd,disk,1,3.7T,HGST HUS726040AL
sde,disk,1,3.7T,HGST HUS726040AL
sdf,disk,1,3.7T,HGST HUS726040AL
sdg,disk,1,3.7T,HGST HUS726040AL
sdh,disk,1,3.7T,HGST HUS726040AL
sdi,disk,1,3.7T,HGST HUS726040AL
sdj,disk,1,3.7T,HGST HUS726040AL
sdk,disk,1,3.7T,HGST HUS726040AL
sdl,disk,1,3.7T,HGST HUS726040AL
sdm,disk,1,3.7T,HGST HUS726040AL
nvme0n1,disk,0,1.5T,P45C7016D22
nvme1n1,disk,0,1.5T,P45C7016D22
